Прибор: ;РОСА К-2 (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_tempCT;color_redC;color_lux;color_ir;color_greenC;color_clearC;color_blueC;
2023-02-21 15:37:53;25.72;730.85;33.3;7.88;17563;0;0;5131.73;6050;1921.51;2560;5608;17597;5940;
2023-02-21 15:38:50;25.71;730.88;33.16;5.5;17585;0;0;5246.34;5462;1752.54;2333;5171;16160;5527;
2023-02-21 15:39:48;25.66;730.89;33.64;4.44;17601;0;0;5429.32;4956;1608.09;2026;4833;15041;5253;
2023-02-21 15:40:45;25.68;730.91;33.7;3.94;17596;0;0;5543.8;4568;1499.13;1841;4549;14096;4979;
2023-02-21 15:41:43;25.63;730.94;33.84;3.13;17607;0;0;5611.15;17752;1436.78;7073;17662;55076;19663;
2023-02-21 15:42:40;25.54;730.91;33.87;2.13;17602;0;0;5653.18;17391;1418.07;6815;17471;54316;19455;
2023-02-21 15:43:38;25.53;730.91;34.07;1.81;17596;0;0;5736.5;16855;1384.59;6381;17177;53256;19224;
2023-02-21 15:44:35;25.48;730.93;33.71;1.31;17600;0;0;5843.2;15781;1308.18;5811;16372;50593;18441;
2023-02-21 15:45:33;25.45;730.95;34.09;1.44;17590;0;0;5995.53;14947;1260.44;5128;15941;48952;18064;
2023-02-21 15:46:31;25.38;731;34.11;1.25;17611;0;0;6032.29;14231;1201.41;4916;15249;46816;17336;
2023-02-21 15:47:28;25.31;731;34.26;0.94;17597;0;0;5935.64;14651;1227.99;5182;15464;47591;17476;
2023-02-21 15:48:26;25.2;731.01;34.27;0.56;17583;0;0;5991.77;14194;1195.07;4905;15117;46451;17140;
2023-02-21 15:49:23;25.17;731.02;34.86;0.31;17601;0;0;5996.5;14306;1208.28;4828;15274;46873;17293;
2023-02-21 15:50:21;25.14;731;34.22;0;17591;0;0;6065.72;13694;1161.4;4534;14769;45264;16802;
2023-02-21 15:51:19;25.05;731.03;33.7;-0.25;17602;0;0;6075.06;13478;1146.03;4416;14574;44621;16570;
2023-02-21 15:52:16;25.08;731.03;35.09;-0.5;17586;0;0;6058.75;13783;1173.15;4408;14887;45555;16886;
2023-02-21 15:53:14;25.03;731.06;35.39;-0.44;17602;0;0;6094.49;13479;1150.59;4282;14641;44760;16640;
2023-02-21 15:54:12;25.07;731.09;35.39;-0.63;17564;0;0;6122.02;13192;1130.33;4123;14405;43978;16381;
2023-02-21 15:55:11;25.03;731.08;35.57;-0.63;17590;0;0;6178.75;12598;1086.82;3922;13898;42326;15831;
2023-02-21 15:56:09;25.13;731.09;35.26;-0.94;17598;0;0;6214.22;12409;1072.44;3788;13756;41874;15709;
2023-02-21 15:57:07;25.08;731.09;35.29;-1;17592;0;0;6244.14;12137;1051.62;3672;13518;41115;15460;
2023-02-21 15:58:04;25.1;731.12;35.29;-1;17607;0;0;6310.7;11543;1004.97;3470;12984;39432;14905;
2023-02-21 15:59:02;24.98;731.16;35.3;-1.13;17590;0;0;6321.43;11667;1017.66;3413;13153;39917;15098;
2023-02-21 15:59:59;24.89;731.17;35.99;-1.44;17590;0;0;6371.08;11159;977.92;3264;12681;38425;14586;
2023-02-21 16:00:57;24.9;731.13;35.84;-1.25;17602;0;0;6309.06;11591;1009.68;3371;13040;39592;14962;
2023-02-21 16:01:54;24.82;731.17;35.11;-1.63;17583;0;0;6369.37;10934;956.8;3216;12412;37632;14287;
2023-02-21 16:02:52;24.85;731.19;34.25;-1.63;17595;0;0;6341.75;11162;972.71;3251;12603;38269;14504;
2023-02-21 16:03:50;24.88;731.18;35.86;-1.5;17570;0;0;6332.17;11115;969.3;3238;12543;38072;14415;
2023-02-21 16:04:47;24.76;731.18;34.84;-1.69;17589;0;0;6325.17;10764;938.3;3226;12135;36838;13940;
2023-02-21 16:05:45;24.76;731.19;34.97;-1.63;17591;0;0;6382.44;10497;916.79;3082;11918;36166;13752;
2023-02-21 16:06:42;24.7;731.22;36.01;-1.81;17593;0;0;6403.09;10716;938.52;3039;12213;37025;14097;
2023-02-21 16:07:40;24.66;731.22;35.77;-2.06;17583;0;0;6422.91;10168;891.68;2908;11621;35217;13429;
2023-02-21 16:08:37;24.63;731.26;36.08;-2.19;17596;0;0;6460.61;10148;891.48;2848;11655;35306;13503;
2023-02-21 16:09:35;24.47;731.26;35.41;-2.5;17607;0;0;6434.27;9923;869.04;2903;11345;34403;13135;
2023-02-21 16:10:32;24.41;731.26;35.87;-2.81;17547;0;0;6418.1;10108;887.97;2874;11559;35004;13337;
2023-02-21 16:11:30;24.34;731.3;35.88;-2.56;17585;0;0;6433.64;9823;864.21;2778;11261;34085;13001;
2023-02-21 16:12:27;24.23;731.29;35.24;-2.44;17591;0;0;6447.32;9654;849.64;2704;11085;33550;12812;
2023-02-21 16:13:24;24.02;731.3;34.04;-2.63;17581;0;0;6416.89;9811;860.23;2752;11205;33957;12942;
2023-02-21 16:14:22;23.95;731.3;29.92;-2.75;17597;0;0;6484.48;9612;843.99;2628;11063;33525;12850;
